condition_concept_id,observation_concept_id,condition_concept_name,observation_concept_name,concept_seed_1,concept_seed_2
442077,442077,Anxiety disorder,Anxiety disorder,299,0
257011,257011,Acute upper respiratory infection,Acute upper respiratory infection,14,0
438720,438720,Mixed hyperlipidemia,Mixed hyperlipidemia,13,10
254761,254761,Cough,Cough,312,0
436659,436659,Iron deficiency anemia,Iron deficiency anemia,936,0
443597,443597,Chronic kidney disease stage 3,Chronic kidney disease stage 3,1625,0
140673,140673,Hypothyroidism,Hypothyroidism,416,0
78232,78232,Shoulder joint pain,Shoulder joint pain,3250,0
319835,319835,Congestive heart failure,Congestive heart failure,2171,0
194133,194133,Low back pain,Low back pain,12,6
4060985,4060985,Body mass index 30+ - obesity,Body mass index 30+ - obesity,351,0
4209423,4209423,Nicotine dependence,Nicotine dependence,14,9
437663,437663,Fever,Fever,3250,0
903657,903657,Cigarette smoker,Cigarette smoker,14,7
37016200,37016200,Exposure to viral disease,Exposure to viral disease,22,13
4042889,4042889,Finding relating to drug misuse behavior,Finding relating to drug misuse behavior,598,0
434005,434005,Morbid obesity,Morbid obesity,14,5
434005,434005,Morbid obesity,Morbid obesity,442,0
197320,197320,Acute kidney injury,Acute kidney injury,16,15
36307579,36307579,Current some day user,Current some day user,13,11
4167217,4167217,Family history of clinical finding,Family history of clinical finding,1092,0
434613,434613,Generalized anxiety disorder,Generalized anxiety disorder,650,0
4079750,4079750,Osteoarthritis of knee,Osteoarthritis of knee,15,2
25297,25297,Acute pharyngitis,Acute pharyngitis,2171,0
3003798,3003798,Blood pressure method,Blood pressure method,15,0
439224,439224,Allergy to drug,Allergy to drug,650,0
437827,437827,Pure hypercholesterolemia,Pure hypercholesterolemia,1300,0
24134,24134,Neck pain,Neck pain,16,4
601622,601622,Pain of left knee region,Pain of left knee region,1300,0
257011,257011,Acute upper respiratory infection,Acute upper respiratory infection,2171,0
601619,601619,Pain of right knee joint,Pain of right knee joint,18,5
45765728,45765728,Supervision of high risk pregnancy,Supervision of high risk pregnancy,16,1
443597,443597,Chronic kidney disease stage 3,Chronic kidney disease stage 3,16,13
764123,764123,Atherosclerosis of coronary artery without angina pectoris,Atherosclerosis of coronary artery without angina pectoris,351,0
46272451,46272451,Long-term current use of insulin,Long-term current use of insulin,17,2
4209423,4209423,Nicotine dependence,Nicotine dependence,936,0
37018196,37018196,Prediabetes,Prediabetes,19,5
200962,200962,Primary malignant neoplasm of prostate,Primary malignant neoplasm of prostate,27,10
3040950,3040950,Body site,Body site,20,16
45768910,45768910,Uncomplicated asthma,Uncomplicated asthma,416,0
24134,24134,Neck pain,Neck pain,819,0
4033240,4033240,Preliminary diagnosis,Preliminary diagnosis,16,0
45771331,45771331,Temperature,Temperature,18,3
25297,25297,Acute pharyngitis,Acute pharyngitis,22,0
45766930,45766930,Admits alcohol use,Admits alcohol use,24,14
436070,436070,Vitamin D deficiency,Vitamin D deficiency,546,0
4188598,4188598,High risk pregnancy,High risk pregnancy,19,12
764123,764123,Atherosclerosis of coronary artery without angina pectoris,Atherosclerosis of coronary artery without angina pectoris,16,10
319835,319835,Congestive heart failure,Congestive heart failure,13,2
4216746,4216746,Positive end expiratory pressure setting,Positive end expiratory pressure setting,7,0
903651,903651,Currently doesn't use tobacco or its derivatives,Currently doesn't use tobacco or its derivatives,20,4
42539502,42539502,Transplanted kidney present,Transplanted kidney present,20,4
316139,316139,Heart failure,Heart failure,40,23
433316,433316,Dizziness and giddiness,Dizziness and giddiness,442,0
4134121,4134121,Lumbar radiculopathy,Lumbar radiculopathy,1300,0
193782,193782,End-stage renal disease,End-stage renal disease,36,29
200219,200219,Abdominal pain,Abdominal pain,1300,0
444094,444094,Finding related to pregnancy,Finding related to pregnancy,31,7
4033240,4033240,Preliminary diagnosis,Preliminary diagnosis,2171,0
254761,254761,Cough,Cough,13,8
436659,436659,Iron deficiency anemia,Iron deficiency anemia,21,15
80502,80502,Osteoporosis,Osteoporosis,819,0
438720,438720,Mixed hyperlipidemia,Mixed hyperlipidemia,390,0
81902,81902,Urinary tract infectious disease,Urinary tract infectious disease,936,0
4154290,4154290,Paroxysmal atrial fibrillation,Paroxysmal atrial fibrillation,33,31
4256640,4256640,Body mass index 40+ - severely obese,Body mass index 40+ - severely obese,26,18
75909,75909,Disorder of bone,Disorder of bone,24,0
46273937,46273937,Long-term current use of anticoagulant,Long-term current use of anticoagulant,1625,0
194133,194133,Low back pain,Low back pain,728,0
4244438,4244438,Second trimester pregnancy,Second trimester pregnancy,22,7
45768910,45768910,Uncomplicated asthma,Uncomplicated asthma,28,11
437113,437113,Asthenia,Asthenia,53,41
4042889,4042889,Finding relating to drug misuse behavior,Finding relating to drug misuse behavior,17,9
4218813,4218813,Third trimester pregnancy,Third trimester pregnancy,23,1
200219,200219,Abdominal pain,Abdominal pain,22,4
257007,257007,Allergic rhinitis,Allergic rhinitis,728,0
46272451,46272451,Long-term current use of insulin,Long-term current use of insulin,650,0
4223659,4223659,Fatigue,Fatigue,286,0
4256640,4256640,Body mass index 40+ - severely obese,Body mass index 40+ - severely obese,468,0
75860,75860,Constipation,Constipation,15,14
80502,80502,Osteoporosis,Osteoporosis,23,20
46271022,46271022,Chronic kidney disease,Chronic kidney disease,936,0
4152283,4152283,Main spoken language,Main spoken language,38,12
80180,80180,Osteoarthritis,Osteoarthritis,819,0
433316,433316,Dizziness and giddiness,Dizziness and giddiness,31,25
438485,438485,Postoperative state,Postoperative state,16,7
432456,432456,Alcohol intake - finding,Alcohol intake - finding,2171,0
3042924,3042924,Little interest or pleasure in doing things in last 2 weeks,Little interest or pleasure in doing things in last 2 weeks,24,14
4282096,4282096,"Major depression, single episode","Major depression, single episode",1300,0
4134121,4134121,Lumbar radiculopathy,Lumbar radiculopathy,33,19
31967,31967,Nausea,Nausea,27,4
432456,432456,Alcohol intake - finding,Alcohol intake - finding,24,12
75909,75909,Disorder of bone,Disorder of bone,1625,0
36717001,36717001,Long-term current use of aspirin,Long-term current use of aspirin,24,12
27674,27674,Nausea and vomiting,Nausea and vomiting,1092,0
4001450,4001450,Lumbago with sciatica,Lumbago with sciatica,2171,0
377091,377091,Seizure,Seizure,52,31
43531578,43531578,Chronic kidney disease due to type 2 diabetes mellitus,Chronic kidney disease due to type 2 diabetes mellitus,25,7
4307376,4307376,Final inpatient visit with instructions at discharge,Final inpatient visit with instructions at discharge,29,24
2106285,2106285,"Most recent diastolic blood pressure less than 80 mm Hg (HTN, CKD, CAD) (DM)","Most recent diastolic blood pressure less than 80 mm Hg (HTN, CKD, CAD) (DM)",34,13
31317,31317,Dysphagia,Dysphagia,26,1
4167217,4167217,Family history of clinical finding,Family history of clinical finding,26,1
378253,378253,Headache,Headache,1092,0
27674,27674,Nausea and vomiting,Nausea and vomiting,26,1
443364,443364,Patient encounter status,Patient encounter status,25,4
321052,321052,Peripheral vascular disease,Peripheral vascular disease,33,13
439224,439224,Allergy to drug,Allergy to drug,26,0
197684,197684,Dysuria,Dysuria,819,0
4223659,4223659,Fatigue,Fatigue,26,25
3010247,3010247,Hospital discharge Dx,Hospital discharge Dx,6,5
903653,903653,Never used tobacco or its derivatives,Never used tobacco or its derivatives,16,13
321052,321052,Peripheral vascular disease,Peripheral vascular disease,2171,0
4060985,4060985,Body mass index 30+ - obesity,Body mass index 30+ - obesity,22,10
4077577,4077577,Moderate recurrent major depression,Moderate recurrent major depression,1300,0
601622,601622,Pain of left knee region,Pain of left knee region,27,21
437643,437643,Abnormal gait,Abnormal gait,1092,0
37018196,37018196,Prediabetes,Prediabetes,1092,0
136788,136788,Spinal stenosis of lumbar region,Spinal stenosis of lumbar region,32,10
42537748,42537748,Acquired absence of organ,Acquired absence of organ,1092,0
4019967,4019967,Dependence on renal dialysis,Dependence on renal dialysis,28,17
43530807,43530807,Allergic disposition,Allergic disposition,61,11
75860,75860,Constipation,Constipation,650,0
4110772,4110772,Gender identity finding,Gender identity finding,28,16
433736,433736,Obesity,Obesity,10,2
2106281,2106281,"Most recent systolic blood pressure less than 130 mm Hg (DM) (HTN, CKD, CAD)","Most recent systolic blood pressure less than 130 mm Hg (DM) (HTN, CKD, CAD)",44,27
601619,601619,Pain of right knee joint,Pain of right knee joint,936,0
43531578,43531578,Chronic kidney disease due to type 2 diabetes mellitus,Chronic kidney disease due to type 2 diabetes mellitus,936,0
4043042,4043042,Sexually active,Sexually active,29,12
78232,78232,Shoulder joint pain,Shoulder joint pain,29,12
441207,441207,Adverse reaction to drug,Adverse reaction to drug,29,11
134736,134736,Backache,Backache,29,11
44786668,44786668,Date quit tobacco smoking,Date quit tobacco smoking,29,11
378253,378253,Headache,Headache,29,11
37016349,37016349,Hyperglycemia due to type 2 diabetes mellitus,Hyperglycemia due to type 2 diabetes mellitus,20,9
437833,437833,Hypokalemia,Hypokalemia,29,11
437827,437827,Pure hypercholesterolemia,Pure hypercholesterolemia,13,4
321319,321319,Cardiomyopathy,Cardiomyopathy,1300,0
196523,196523,Diarrhea,Diarrhea,650,0
80180,80180,Osteoarthritis,Osteoarthritis,30,8
44813951,44813951,Discharge details,Discharge details,30,7
3001048,3001048,Peripheral artery measurement site,Peripheral artery measurement site,30,7
432870,432870,Thrombocytopenic disorder,Thrombocytopenic disorder,2171,0
318736,318736,Migraine,Migraine,29,8
442793,442793,Complication due to diabetes mellitus,Complication due to diabetes mellitus,31,3
40405599,40405599,Fibromyalgia,Fibromyalgia,39,26
77074,77074,Joint pain,Joint pain,69,65
132797,132797,Sepsis,Sepsis,40,25
37016349,37016349,Hyperglycemia due to type 2 diabetes mellitus,Hyperglycemia due to type 2 diabetes mellitus,650,0
81902,81902,Urinary tract infectious disease,Urinary tract infectious disease,16,0
4346975,4346975,Lumbar spondylosis,Lumbar spondylosis,52,11
255848,255848,Pneumonia,Pneumonia,728,0
198803,198803,Benign prostatic hyperplasia,Benign prostatic hyperplasia,45,17
37017432,37017432,Polyneuropathy due to type 2 diabetes mellitus,Polyneuropathy due to type 2 diabetes mellitus,1300,0
137809,137809,Primary malignant neoplasm of female breast,Primary malignant neoplasm of female breast,23,16
135930,135930,Musculoskeletal finding,Musculoskeletal finding,1625,0
40479576,40479576,Chronic diastolic heart failure,Chronic diastolic heart failure,72,60
42894222,42894222,EHR Chief Complaint,EHR Chief Complaint,34,26
201620,201620,Kidney stone,Kidney stone,34,26
4283657,4283657,Sexual orientation,Sexual orientation,38,22
444070,444070,Tachycardia,Tachycardia,34,26
903654,903654,Tobacco or its derivatives user,Tobacco or its derivatives user,34,26
437113,437113,Asthenia,Asthenia,416,0
4146581,4146581,Mild intermittent asthma,Mild intermittent asthma,728,0
4311499,4311499,Primary malignant neoplasm of respiratory tract,Primary malignant neoplasm of respiratory tract,34,25
45772705,45772705,Denies alcohol use,Denies alcohol use,1625,0
442752,442752,Muscle pain,Muscle pain,936,0
3019204,3019204,Body position with respect to gravity,Body position with respect to gravity,36,21
197381,197381,Epigastric pain,Epigastric pain,1092,0
434610,434610,Hyperkalemia,Hyperkalemia,36,21
4282096,4282096,"Major depression, single episode","Major depression, single episode",33,24
4174262,4174262,Polyneuropathy,Polyneuropathy,48,9
192450,192450,Retention of urine,Retention of urine,59,57
4064161,4064161,Cirrhosis of liver,Cirrhosis of liver,36,20
433736,433736,Obesity,Obesity,416,0
436676,436676,Posttraumatic stress disorder,Posttraumatic stress disorder,43,13
440704,440704,Chronic pain syndrome,Chronic pain syndrome,3250,0
42537730,42537730,Coronary artery graft present,Coronary artery graft present,2171,0
201618,201618,Disorder of intestine,Disorder of intestine,37,18
4214376,4214376,Hyperglycemia,Hyperglycemia,2171,0
443454,443454,Cerebral infarction,Cerebral infarction,38,16
45772705,45772705,Denies alcohol use,Denies alcohol use,35,19
436583,436583,Fall,Fall,1300,0
2102034,2102034,Medication list documented in medical record (COA),Medication list documented in medical record (COA),38,16
4113821,4113821,Anxiety state,Anxiety state,45,8
134736,134736,Backache,Backache,936,0
197684,197684,Dysuria,Dysuria,26,1
200843,200843,Finding of frequency of urination,Finding of frequency of urination,106,53
4170554,4170554,Hip pain,Hip pain,1300,0
4214376,4214376,Hyperglycemia,Hyperglycemia,48,5
4329041,4329041,Pain,Pain,38,15
3035482,3035482,Pain duration - Reported,Pain duration - Reported,38,15
315078,315078,Palpitations,Palpitations,38,15
436962,436962,Insomnia,Insomnia,21,10
4154290,4154290,Paroxysmal atrial fibrillation,Paroxysmal atrial fibrillation,819,0
140821,140821,Spasm,Spasm,59,52
432870,432870,Thrombocytopenic disorder,Thrombocytopenic disorder,39,13
441207,441207,Adverse reaction to drug,Adverse reaction to drug,1625,0
4144111,4144111,Gastroesophageal reflux disease without esophagitis,Gastroesophageal reflux disease without esophagitis,8,3
4236484,4236484,Paresthesia,Paresthesia,43,8
4236484,4236484,Paresthesia,Paresthesia,1092,0
442588,442588,Obstructive sleep apnea syndrome,Obstructive sleep apnea syndrome,12,2
315078,315078,Palpitations,Palpitations,442,0
37017432,37017432,Polyneuropathy due to type 2 diabetes mellitus,Polyneuropathy due to type 2 diabetes mellitus,40,10
40479576,40479576,Chronic diastolic heart failure,Chronic diastolic heart failure,650,0
4142875,4142875,Solitary nodule of lung,Solitary nodule of lung,1092,0
43530807,43530807,Allergic disposition,Allergic disposition,1092,0
257007,257007,Allergic rhinitis,Allergic rhinitis,42,6
201618,201618,Disorder of intestine,Disorder of intestine,1300,0
200843,200843,Finding of frequency of urination,Finding of frequency of urination,1300,0
79908,79908,Muscle weakness,Muscle weakness,48,0
31967,31967,Nausea,Nausea,598,0
42538119,42538119,Transplanted heart valve present,Transplanted heart valve present,42,6
40483287,40483287,Disorder of kidney and/or ureter,Disorder of kidney and/or ureter,48,47
140214,140214,Eruption,Eruption,106,47
437233,437233,Multiple myeloma,Multiple myeloma,40,7
9177,9177,Other,Other,63,47
80809,80809,Rheumatoid arthritis,Rheumatoid arthritis,1625,0
43021202,43021202,Sexually active with men,Sexually active with men,43,4
437246,437246,Vitamin B deficiency,Vitamin B deficiency,728,0
443211,443211,Benign prostatic hyperplasia with outflow obstruction,Benign prostatic hyperplasia with outflow obstruction,3250,0
44782429,44782429,Chronic kidney disease due to hypertension,Chronic kidney disease due to hypertension,1625,0
31317,31317,Dysphagia,Dysphagia,1625,0
4210989,4210989,Family history with explicit context,Family history with explicit context,56,46
442752,442752,Muscle pain,Muscle pain,44,2
4117695,4117695,Pain in left lower limb,Pain in left lower limb,69,46
255848,255848,Pneumonia,Pneumonia,44,2
4115367,4115367,Wrist joint pain,Wrist joint pain,125,46
435928,435928,Abnormal weight loss,Abnormal weight loss,2171,0
4155909,4155909,Anesthesia of skin,Anesthesia of skin,59,45
45763854,45763854,Chronic kidney disease stage 3A,Chronic kidney disease stage 3A,45,0
4181965,4181965,Chronic ulcer of foot,Chronic ulcer of foot,45,0
196523,196523,Diarrhea,Diarrhea,38,7
193782,193782,End-stage renal disease,End-stage renal disease,1625,0
40758879,40758879,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],45,0
192450,192450,Retention of urine,Retention of urine,1625,0
4206148,4206148,Syncope and collapse,Syncope and collapse,1625,0
4186037,4186037,Aftercare,Aftercare,56,44
4060705,4060705,Body mass index 25-29 - overweight,Body mass index 25-29 - overweight,1092,0
4141360,4141360,Chronic atrial fibrillation,Chronic atrial fibrillation,46,44
443769,443769,Degeneration of lumbar intervertebral disc,Degeneration of lumbar intervertebral disc,46,44
3045858,3045858,"Feeling down, depressed, or hopeless in last 2 weeks","Feeling down, depressed, or hopeless in last 2 weeks",46,44
37020730,37020730,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living","Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living",32,12
316139,316139,Heart failure,Heart failure,936,0
444101,444101,Hypertensive heart failure,Hypertensive heart failure,65,44
4195085,4195085,Nasal congestion,Nasal congestion,1092,0
42537748,42537748,Acquired absence of organ,Acquired absence of organ,20,3
197320,197320,Acute kidney injury,Acute kidney injury,936,0
4149904,4149904,"Attention deficit hyperactivity disorder, combined type","Attention deficit hyperactivity disorder, combined type",53,43
255573,255573,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,442,0
440704,440704,Chronic pain syndrome,Chronic pain syndrome,286,43
45881517,45881517,Current every day smoker,Current every day smoker,21,1
435796,435796,Dehydration,Dehydration,58,43
4239938,4239938,First trimester pregnancy,First trimester pregnancy,47,43
435515,435515,Hypo-osmolality and or hyponatremia,Hypo-osmolality and or hyponatremia,728,0
4079750,4079750,Osteoarthritis of knee,Osteoarthritis of knee,1300,0
254061,254061,Pleural effusion,Pleural effusion,47,43
4174262,4174262,Polyneuropathy,Polyneuropathy,936,0
4322024,4322024,Pulmonary hypertension,Pulmonary hypertension,47,43
40770349,40770349,Smoking tobacco use duration,Smoking tobacco use duration,58,43
4155909,4155909,Anesthesia of skin,Anesthesia of skin,1625,0
442793,442793,Complication due to diabetes mellitus,Complication due to diabetes mellitus,1300,0
4272240,4272240,Malaise,Malaise,46,42
80809,80809,Rheumatoid arthritis,Rheumatoid arthritis,72,42
4142875,4142875,Solitary nodule of lung,Solitary nodule of lung,48,42
437246,437246,Vitamin B deficiency,Vitamin B deficiency,43,42
197381,197381,Epigastric pain,Epigastric pain,65,41
380378,380378,Epilepsy,Epilepsy,49,41
378735,378735,Migraine without aura,Migraine without aura,1092,0
443729,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,Peripheral circulatory disorder due to type 2 diabetes mellitus,75,41
73754,73754,Restless legs,Restless legs,3250,0
201254,201254,Type 1 diabetes mellitus,Type 1 diabetes mellitus,75,41
436222,436222,Altered mental status,Altered mental status,2171,0
44782429,44782429,Chronic kidney disease due to hypertension,Chronic kidney disease due to hypertension,91,40
439696,439696,Hypertensive heart and renal disease with (congestive) heart failure,Hypertensive heart and renal disease with (congestive) heart failure,1300,0
36717001,36717001,Long-term current use of aspirin,Long-term current use of aspirin,1625,0
3018063,3018063,Marital status and living arrangements - Reported,Marital status and living arrangements - Reported,46,40
3034855,3034855,Pain alleviating factors - Reported,Pain alleviating factors - Reported,50,40
4310235,4310235,Reduced mobility,Reduced mobility,58,40
439147,439147,Amnesia,Amnesia,167,39
439147,439147,Amnesia,Amnesia,728,0
45768812,45768812,Anemia in chronic kidney disease,Anemia in chronic kidney disease,2171,0
44784217,44784217,Cardiac arrhythmia,Cardiac arrhythmia,1300,0
46271811,46271811,Child-Pugh score class A,Child-Pugh score class A,77,39
372887,372887,Disorder of brain,Disorder of brain,1625,0
433740,433740,Immunodeficiency disorder,Immunodeficiency disorder,52,39
261325,261325,Pulmonary emphysema,Pulmonary emphysema,1625,0
4035611,4035611,Seropositive rheumatoid arthritis,Seropositive rheumatoid arthritis,100,39
40766721,40766721,Tobacco product [PhenX],Tobacco product [PhenX],52,39
380094,380094,Carpal tunnel syndrome,Carpal tunnel syndrome,56,38
372887,372887,Disorder of brain,Disorder of brain,58,38
4098604,4098604,Hypomagnesemia,Hypomagnesemia,53,38
312998,312998,Pain in thoracic spine,Pain in thoracic spine,75,38
432795,432795,Traumatic or non-traumatic injury,Traumatic or non-traumatic injury,77,38
42537729,42537729,Aortocoronary bypass graft present,Aortocoronary bypass graft present,55,37
3031680,3031680,Blood pressure measurement site,Blood pressure measurement site,55,37
4169095,4169095,Bradycardia,Bradycardia,77,37
4288310,4288310,Carotid artery obstruction,Carotid artery obstruction,96,37
42537730,42537730,Coronary artery graft present,Coronary artery graft present,55,37
439407,439407,Disorder of nasal cavity,Disorder of nasal cavity,1625,0
45766714,45766714,Inflammatory dermatosis,Inflammatory dermatosis,52,37
140648,140648,Onychomycosis due to dermatophyte,Onychomycosis due to dermatophyte,72,37
45763842,45763842,Patient requests non-blood medical management,Patient requests non-blood medical management,91,37
132797,132797,Sepsis,Sepsis,1300,0
4248728,4248728,Snoring,Snoring,59,37
4041285,4041285,Urogenital finding,Urogenital finding,118,37
443211,443211,Benign prostatic hyperplasia with outflow obstruction,Benign prostatic hyperplasia with outflow obstruction,56,36
4135421,4135421,Body mass index 20-24 - normal,Body mass index 20-24 - normal,56,36
374375,374375,Impacted cerumen,Impacted cerumen,87,36
4171917,4171917,Localized edema,Localized edema,43,36
4346975,4346975,Lumbar spondylosis,Lumbar spondylosis,2171,0
254061,254061,Pleural effusion,Pleural effusion,1625,0
4059290,4059290,Steatosis of liver,Steatosis of liver,56,36
4081759,4081759,Transplant follow-up,Transplant follow-up,56,36
42538117,42538117,Transplanted heart present,Transplanted heart present,134,36
440029,440029,Viral disease,Viral disease,40,36
4149353,4149353,"Attention deficit hyperactivity disorder, predominantly inattentive type","Attention deficit hyperactivity disorder, predominantly inattentive type",59,35
376208,376208,Disorder of soft tissue,Disorder of soft tissue,61,35
4248728,4248728,Snoring,Snoring,1625,0
4275423,4275423,Supraventricular tachycardia,Supraventricular tachycardia,1625,0
3043462,3043462,"Thoughts that you would be better off dead, or of hurting yourself in some way in last 2 weeks [Reported.PHQ]","Thoughts that you would be better off dead, or of hurting yourself in some way in last 2 weeks [Reported.PHQ]",59,35
45768964,45768964,Uncomplicated moderate persistent asthma,Uncomplicated moderate persistent asthma,72,35
436665,436665,Bipolar disorder,Bipolar disorder,59,34
257012,257012,Chronic sinusitis,Chronic sinusitis,106,34
40479192,40479192,Chronic systolic heart failure,Chronic systolic heart failure,59,34
434610,434610,Hyperkalemia,Hyperkalemia,1625,0
4329041,4329041,Pain,Pain,1300,0
4115171,4115171,Pain in right lower limb,Pain in right lower limb,1625,0
4192791,4192791,Pain management (specialty),Pain management (specialty),125,34
436353,436353,Primary malignant neoplasm of upper outer quadrant of female breast,Primary malignant neoplasm of upper outer quadrant of female breast,39,34
3022650,3022650,Specimen drawn from,Specimen drawn from,77,34
4135421,4135421,Body mass index 20-24 - normal,Body mass index 20-24 - normal,1092,0
4271661,4271661,Characteristic of pain,Characteristic of pain,61,33
4229440,4229440,Chronic congestive heart failure,Chronic congestive heart failure,1300,0
3004518,3004518,Cigarettes smoked current (pack per day) - Reported,Cigarettes smoked current (pack per day) - Reported,31,2
40217302,40217302,"Clinical decision support mechanism national decision support company, as defined by the medicare appropriate use criteria program","Clinical decision support mechanism national decision support company, as defined by the medicare appropriate use criteria program",59,33
141693,141693,Elevated blood-pressure reading without diagnosis of hypertension,Elevated blood-pressure reading without diagnosis of hypertension,2171,0
21494983,21494983,Level of consciousness,Level of consciousness,69,33
4047564,4047564,Routine antenatal care,Routine antenatal care,23,10
435220,435220,Severe recurrent major depression without psychotic features,Severe recurrent major depression without psychotic features,67,33
313459,313459,Sleep apnea,Sleep apnea,61,33
435517,435517,Acidosis,Acidosis,1092,0
314658,314658,Cardiomegaly,Cardiomegaly,72,32
4271661,4271661,Characteristic of pain,Characteristic of pain,1300,0
141693,141693,Elevated blood-pressure reading without diagnosis of hypertension,Elevated blood-pressure reading without diagnosis of hypertension,87,32
30437,30437,Gastro-esophageal reflux disease with esophagitis,Gastro-esophageal reflux disease with esophagitis,63,32
37119138,37119138,Iron deficiency anemia due to blood loss,Iron deficiency anemia due to blood loss,42,32
762294,762294,Pain in right foot,Pain in right foot,118,32
436676,436676,Posttraumatic stress disorder,Posttraumatic stress disorder,2171,0
3007397,3007397,Ventilator type,Ventilator type,91,32
36306143,36306143,Within the past 12 months the food we bought just didn't last and we didn't have money to get more [U.S. FSS],Within the past 12 months the food we bought just didn't last and we didn't have money to get more [U.S. FSS],65,32
46271022,46271022,Chronic kidney disease,Chronic kidney disease,106,31
45763854,45763854,Chronic kidney disease stage 3A,Chronic kidney disease stage 3A,2171,0
376065,376065,Disorder of nervous system due to type 2 diabetes mellitus,Disorder of nervous system due to type 2 diabetes mellitus,65,31
3045290,3045290,Edema,Edema,63,31
377889,377889,Hearing loss,Hearing loss,118,31
4119786,4119786,Interstitial lung disease,Interstitial lung disease,819,0
46272452,46272452,Long-term current use of steroid,Long-term current use of steroid,100,31
317002,317002,Low blood pressure,Low blood pressure,1625,0
4271013,4271013,Melanocytic nevus,Melanocytic nevus,143,31
4168216,4168216,Pelvic and perineal pain,Pelvic and perineal pain,134,31
4150125,4150125,Persistent pain following procedure,Persistent pain following procedure,200,31
193322,193322,Right lower quadrant pain,Right lower quadrant pain,84,31
46271075,46271075,Acute hypoxemic respiratory failure,Acute hypoxemic respiratory failure,67,30
140352,140352,"Acute myeloid leukemia, disease","Acute myeloid leukemia, disease",154,30
45763855,45763855,Chronic kidney disease stage 3B,Chronic kidney disease stage 3B,106,30
437758,437758,Dependence on enabling machine or device,Dependence on enabling machine or device,59,30
40405599,40405599,Fibromyalgia,Fibromyalgia,728,0
4254485,4254485,Finding related to attentiveness,Finding related to attentiveness,69,30
4098604,4098604,Hypomagnesemia,Hypomagnesemia,1625,0
